x;y;label
4;-3.269185851;c
6;-4.795210396;c
8;-6.199054118;c
10;-7.683698969;c
12;-9.234125698;c
14;-10.57966154;c
16;-12.12589011;c
18;-13.51581148;c
20;-13.27824392;c
22;-13.51445323;c
24;-13.63983568;c
26;-13.52433982;c
28;-13.62861088;c
30;-13.03164468;c
32;-13.58819945;c
34;-13.4809715;c
36;-13.50431141;c
38;-13.49245987;c
40;-12.96164656;c
42;-13.03673652;c
44;-13.11348307;c
46;-13.18736973;c
48;-13.1377676;c
50;-12.88365202;c
52;-13.20396485;c
54;-13.25505867;c
56;-13.34082879;c
58;-13.00713587;c
60;-13.20733154;c
62;-12.63786755;c
64;-12.89003751;c
66;-13.44065693;c
68;-13.31607156;c
70;-12.69728961;c
72;-12.97117415;c
74;-13.65321854;c
76;-13.0432811;c
78;-13.46261619;c
80;-13.73809298;c
82;-13.36775953;c
84;-12.91092548;c
86;-13.41018473;c
88;-13.19449702;c
90;-13.33490379;c
92;-13.33345141;c
94;-13.45028958;c
96;-13.29469486;c
98;-13.57164485;c
100;-13.56137788;c
